User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Late_Night_Usage (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Notifications_per_Day,Dominant_Emotion
667,28,Male,Instagram,165,0,5,78,23,35,52,Positive
668,31,Female,Whatsapp,,68,2,,10,20,126,Positive
669,27,,Telegram,105,0,3,48,20,28,207,Negative
670,22,Female,Snapchat,,153,2,21,8,,57,Negative
671,24,,Instagram,140,53,4,65,22,30,160,Positive
672,35,Male,Twitter,70,27,1,13,8,10,26,Positive
673,21,Male,Facebook,55,25,3,,7,12,156,Positive
674,29,Female,Whatsapp,90,32,,24,12,22,77,Negative
675,25,Male,Telegram,80,35,4,30,13,25,65,Positive
676,28,Female,Snapchat,,139,3,38,18,27,174,Negative
677,32,Female,Instagram,155,47,6,75,25,38,184,Positive
678,26,Male,Twitter,75,70,2,23,12,18,196,Negative
679,,Male,Facebook,65,50,1,13,7,14,199,Negative
680,27,Female,Whatsapp,90,73,4,37,18,,114,Positive
681,31,Male,Telegram,50,255,2,20,10,,65,Negative
682,24,Female,Snapchat,85,0,3,33,20,18,181,Positive
683,34,,Instagram,120,90,5,60,25,25,166,Negative
684,,Male,Twitter,70,50,1,22,7,22,43,Positive
685,,Male,Facebook,75,52,2,20,8,20,134,Positive
686,28,Female,Whatsapp,100,145,4,37,14,26,38,Negative
687,31,Male,Telegram,85,65,3,45,20,28,56,Negative
688,21,Female,Snapchat,60,41,1,18,7,12,193,Positive
689,25,Female,Instagram,170,85,6,83,30,33,230,Positive
690,30,Male,Twitter,70,57,2,30,12,20,246,Negative
691,,Male,Facebook,50,40,1,10,4,10,47,Positive
692,32,Female,Whatsapp,105,100,4,55,25,25,241,Negative
693,24,Male,Telegram,75,45,3,37,16,22,127,Positive
694,29,Female,Snapchat,95,55,,23,10,28,24,Negative
695,26,Male,Instagram,150,118,5,70,25,30,105,Negative
696,33,Female,Twitter,85,65,4,35,18,18,81,Positive
697,22,Female,Facebook,70,44,1,14,6,10,231,Positive
698,35,Male,Whatsapp,110,87,3,50,25,25,120,Positive
699,28,Male,Telegram,60,40,2,18,8,,29,Negative
700,27,Female,Snapchat,120,56,4,40,18,22,178,Positive
701,25,Female,Instagram,120,80,5,50,,25,167,Positive
702,30,Male,Twitter,90,37,4,30,20,22,233,Negative
703,22,Male,Facebook,60,45,2,20,10,15,186,Positive
704,28,Female,Instagram,200,81,8,110,40,45,112,Negative
705,33,Male,LinkedIn,45,35,1,10,5,12,82,Positive
706,21,Male,Instagram,150,74,5,65,,30,64,Positive
707,27,Female,Twitter,85,40,3,40,,20,176,Negative
708,24,Female,Facebook,110,88,6,35,16,25,227,Negative
709,,Female,LinkedIn,55,30,2,15,5,10,87,Positive
710,,Male,Instagram,170,116,,90,35,40,26,Positive
711,23,Female,Twitter,75,52,4,45,20,25,17,Negative
712,26,Female,Facebook,95,0,3,30,14,18,17,Negative
713,34,Male,LinkedIn,65,9,1,14,6,15,38,Positive
714,22,Female,Instagram,180,51,8,100,38,45,136,Positive
715,,Male,,100,35,6,50,,29,61,Negative
716,21,Female,Facebook,40,25,1,10,,12,144,Positive
717,35,Female,Instagram,125,17,5,65,22,28,77,Negative
718,27,Male,Twitter,90,30,3,40,16,24,111,Negative
719,23,Male,LinkedIn,50,53,1,12,6,12,33,Positive
720,32,Female,Instagram,140,104,6,75,,30,46,Positive
721,26,Male,Facebook,75,21,2,30,14,20,97,Negative
722,24,,Twitter,105,60,4,35,20,23,120,Negative
723,29,Male,LinkedIn,60,47,2,17,8,15,30,Positive
724,33,Female,Instagram,190,26,8,105,36,50,206,Positive
725,22,Female,Twitter,70,55,3,25,16,15,130,Negative
726,31,Male,Facebook,80,0,2,20,10,20,201,Positive
727,27,,LinkedIn,55,35,1,12,5,11,78,Negative
728,25,Female,Instagram,160,44,6,85,26,30,235,Positive
729,30,Male,Twitter,90,40,4,43,19,24,130,Negative
730,26,Female,Facebook,45,30,1,8,4,12,189,Negative
731,34,Female,LinkedIn,65,20,2,17,5,14,117,Positive
732,28,Male,Instagram,145,68,7,80,30,35,99,Positive
733,23,Male,Twitter,70,20,3,30,14,18,164,Positive
734,21,Female,Instagram,130,100,,95,22,28,221,Negative
735,29,Male,Facebook,65,30,2,27,11,22,197,Negative
736,,Female,LinkedIn,55,20,1,11,6,11,70,Positive
737,33,Female,Instagram,170,169,,,30,38,81,Positive
738,27,Male,Twitter,85,50,4,45,18,24,49,Negative
739,22,Female,Instagram,115,52,3,60,,30,128,Positive
740,28,Female,Facebook,100,70,2,22,12,25,213,Negative
741,31,Male,LinkedIn,45,20,1,9,4,,22,Negative
742,25,Female,Instagram,150,42,6,90,26,30,126,Positive
743,29,Male,Twitter,95,60,4,50,22,22,63,Negative
744,23,Female,Facebook,105,92,2,,12,18,200,Positive
745,35,Female,LinkedIn,60,20,,15,7,,149,Positive
746,30,Male,Instagram,175,51,7,100,33,38,87,Positive
747,21,Female,Twitter,90,163,3,37,14,20,68,Negative
748,26,Female,Facebook,75,25,2,30,12,18,155,Negative
749,32,Male,Instagram,,71,5,80,28,31,86,Positive
750,28,Female,LinkedIn,55,35,1,12,,10,91,Positive
751,27,Male,Instagram,165,27,6,85,30,28,18,Positive
752,24,,Twitter,75,45,3,33,18,19,129,Negative
753,29,Male,Facebook,85,38,2,27,9,20,77,Positive
754,33,Female,,145,81,4,,23,35,228,Negative
755,31,Male,LinkedIn,60,195,1,15,7,17,101,Negative
756,22,Female,,70,45,2,42,10,,184,Negative
757,25,Male,,90,65,3,,11,22,174,Positive
758,29,Female,Snapchat,50,40,2,18,7,18,108,Negative
759,28,Female,Twitter,95,80,4,48,22,25,239,Positive
760,27,Male,Facebook,60,16,1,12,5,15,107,Positive
761,30,Female,,175,123,6,72,30,33,17,Positive
762,23,Male,Whatsapp,70,30,3,22,10,18,50,Negative
763,34,Male,Telegram,80,208,2,21,8,20,244,Positive
764,26,Female,Snapchat,120,3,4,55,18,30,122,Negative
765,25,Male,Twitter,90,76,6,42,14,26,48,Negative
766,29,Female,,60,35,1,,4,12,238,Positive
767,28,Male,Instagram,165,58,5,,23,35,140,Positive
768,31,Female,Whatsapp,65,30,2,27,10,20,194,Positive
769,27,Male,Telegram,,129,3,48,20,28,242,Negative
770,22,Female,Snapchat,75,55,2,21,8,20,111,Negative
771,24,Female,Instagram,140,100,4,65,22,30,22,Positive
772,35,Male,Twitter,70,30,,13,,10,117,Positive
773,21,Male,Facebook,55,30,3,17,,12,184,Positive
774,29,Female,,90,30,2,24,12,22,205,Negative
775,25,Male,Telegram,80,51,4,30,,,123,Positive
776,28,Female,Snapchat,115,92,3,,18,27,132,Negative
777,32,Female,Instagram,155,50,6,75,25,38,113,Positive
778,26,Male,,75,60,2,23,12,18,178,Negative
779,33,Male,Facebook,65,50,1,13,7,14,210,Negative
780,27,Female,Whatsapp,90,85,4,37,18,20,209,Positive
781,31,Male,Telegram,50,35,2,20,10,12,126,Negative
782,24,Female,Snapchat,85,45,,33,20,18,50,Positive
783,34,Female,Instagram,120,117,5,60,25,25,94,Negative
784,22,Male,Twitter,70,30,1,22,7,22,219,Positive
785,29,Male,Facebook,75,0,2,20,8,20,43,Positive
786,28,Female,Whatsapp,,58,4,,14,26,130,Negative
787,31,Male,Telegram,85,35,3,45,20,28,114,Negative
788,21,Female,Snapchat,60,42,1,18,7,12,45,Positive
789,25,Female,Instagram,170,128,6,83,30,,123,Positive
790,30,Male,Twitter,70,43,2,30,12,20,33,Negative
791,,Male,Facebook,50,0,1,10,4,,224,Positive
792,32,Female,Whatsapp,105,45,4,55,25,25,25,Negative
793,24,Male,Telegram,75,78,3,37,16,,81,Positive
794,,Female,Snapchat,95,91,2,23,,28,212,Negative
795,26,Male,Instagram,150,0,5,70,25,,219,Negative
796,33,Female,Twitter,85,71,4,35,18,18,146,Positive
797,22,Female,,70,40,,14,6,10,111,Positive
798,35,Male,Whatsapp,110,95,3,50,25,25,118,Positive
799,,Male,Telegram,60,40,2,18,8,18,17,Negative
800,27,Female,Snapchat,120,56,,40,18,22,140,Positive
801,25,Female,Instagram,120,78,5,50,20,25,205,Positive
802,30,Male,Twitter,90,60,4,30,20,22,113,Negative
803,22,Male,Facebook,60,25,2,20,10,15,239,Positive
804,28,Female,Instagram,200,169,8,110,40,45,87,Negative
805,33,Male,LinkedIn,45,0,1,10,5,12,37,Positive
806,21,Male,Instagram,150,81,5,65,25,30,150,Positive
807,27,Female,,85,70,3,40,18,20,241,Negative
808,24,Female,Facebook,110,80,6,35,,25,125,Negative
809,29,Female,LinkedIn,55,35,2,15,5,10,152,Positive
810,,Male,Instagram,170,71,7,90,,40,146,Positive
811,23,Female,Twitter,75,50,4,45,20,25,215,Negative
812,,Female,Facebook,95,0,3,30,14,18,18,Negative
813,34,Male,LinkedIn,,15,1,14,6,,10,Positive
814,22,Female,Instagram,180,119,8,100,38,45,146,Positive
815,28,Male,Twitter,100,57,6,50,30,29,82,Negative
816,21,,Facebook,40,20,1,10,4,12,193,Positive
817,35,Female,Instagram,125,74,5,65,22,28,170,Negative
818,27,,Twitter,90,40,3,,16,24,190,Negative
819,23,Male,LinkedIn,50,45,1,12,6,12,107,Positive
820,32,Female,Instagram,140,34,6,75,28,,112,Positive
821,26,Male,Facebook,75,35,2,30,14,20,13,Negative
822,24,Female,Twitter,105,75,4,35,20,23,82,Negative
823,29,,LinkedIn,60,20,2,17,8,15,49,Positive
824,33,Female,Instagram,190,136,8,105,36,50,213,Positive
825,22,Female,Twitter,70,25,3,25,16,15,169,Negative
826,31,Male,Facebook,80,153,2,20,10,20,129,Positive
827,27,Male,LinkedIn,55,20,1,12,5,11,199,Negative
828,25,Female,Instagram,160,50,6,85,26,30,180,Positive
829,30,Male,Twitter,90,30,4,43,19,,41,Negative
830,26,Female,Facebook,45,35,,8,4,12,142,Negative
831,34,Female,,65,19,2,17,5,,145,Positive
832,28,Male,Instagram,145,0,7,80,30,35,171,Positive
833,,Male,Twitter,70,50,3,30,,18,80,Positive
834,21,Female,Instagram,130,75,6,95,22,,174,Negative
835,29,Male,Facebook,65,25,2,27,11,22,227,Negative
836,24,Female,LinkedIn,55,30,1,11,6,11,228,Positive
837,,Female,Instagram,170,101,7,95,30,38,235,Positive
838,27,Male,Twitter,85,50,4,45,18,24,93,Negative
839,22,Female,Instagram,115,36,3,60,17,30,215,Positive
840,,Female,Facebook,100,105,2,22,12,,180,Negative
841,31,Male,LinkedIn,45,20,,9,,10,110,Negative
842,,Female,Instagram,150,112,6,90,26,,105,Positive
843,,Male,Twitter,95,83,4,50,,22,202,Negative
844,23,,Facebook,105,55,2,25,12,18,91,Positive
845,35,,LinkedIn,60,30,1,,7,14,241,Positive
846,30,Male,Instagram,,35,7,100,33,38,245,Positive
847,21,Female,,90,55,3,37,14,20,145,Negative
848,26,Female,Facebook,75,50,2,30,12,18,162,Negative
849,32,Male,Instagram,130,109,5,80,28,31,161,Positive
850,28,Female,LinkedIn,55,20,1,12,6,10,71,Positive
851,27,Male,Instagram,165,103,6,85,30,28,224,Positive
852,24,Female,Twitter,75,51,3,33,18,19,76,Negative
853,29,Male,,85,45,2,27,9,20,128,Positive
854,33,Female,Instagram,145,93,4,65,23,35,85,Negative
855,31,Male,LinkedIn,60,40,1,15,7,17,20,Negative
856,22,Female,Whatsapp,70,63,2,42,10,21,13,Negative
857,25,Male,Telegram,90,50,3,22,11,22,116,Positive
858,29,Female,Snapchat,50,43,2,18,7,18,195,Negative
859,28,,Twitter,,147,4,48,22,25,20,Positive
860,27,Male,Facebook,60,35,1,12,5,15,193,Positive
861,30,Female,Instagram,175,61,6,72,30,33,32,Positive
862,23,Male,Whatsapp,70,22,3,22,10,18,94,Negative
863,34,Male,Telegram,80,60,2,,8,20,15,Positive
864,26,Female,Snapchat,120,96,4,55,18,30,125,Negative
865,25,Male,Twitter,90,57,6,42,14,26,181,Negative
866,29,Female,Facebook,60,65,1,12,4,12,94,Positive
867,28,Male,Instagram,165,154,5,,23,35,16,Positive
868,31,Female,Whatsapp,65,45,2,27,10,20,73,Positive
869,27,,Telegram,105,33,3,48,20,28,116,Negative
870,22,Female,Snapchat,75,30,2,21,8,20,228,Negative
871,24,Female,Instagram,140,45,4,65,22,30,177,Positive
872,35,Male,,70,45,1,13,8,10,219,Positive
873,21,Male,Facebook,55,15,3,17,7,,237,Positive
874,29,Female,Whatsapp,90,54,,24,12,22,246,Negative
875,,Male,,80,13,4,30,13,25,206,Positive
876,28,Female,Snapchat,115,70,3,38,18,27,141,Negative
877,32,Female,Instagram,155,68,6,75,25,38,63,Positive
878,26,Male,Twitter,75,45,2,23,12,18,92,Negative
879,33,Male,Facebook,65,55,1,,,,181,Negative
880,27,Female,Whatsapp,90,60,4,37,18,20,57,Positive
881,31,Male,Telegram,50,49,2,20,10,12,210,Negative
882,24,Female,Snapchat,85,31,3,,20,18,75,Positive
883,34,Female,Instagram,120,130,5,,25,25,56,Negative
884,22,Male,Twitter,70,45,1,22,7,22,152,Positive
885,29,Male,Facebook,,139,2,20,8,20,136,Positive
886,28,Female,Whatsapp,100,21,4,37,14,26,41,Negative
887,31,Male,Telegram,85,64,3,45,20,28,206,Negative
888,21,Female,Snapchat,60,30,1,18,7,12,53,Positive
889,25,Female,Instagram,170,112,6,83,,33,165,Positive
890,30,Male,Twitter,70,154,,30,12,20,212,Negative
891,27,,Facebook,50,35,1,10,4,10,243,Positive
892,32,,Whatsapp,105,60,4,,25,25,45,Negative
893,24,Male,Telegram,75,57,3,37,16,22,43,Positive
894,29,Female,Snapchat,95,84,2,23,10,28,107,Negative
895,26,Male,Instagram,150,107,5,70,25,30,163,Negative
896,,Female,Twitter,85,50,4,35,18,18,26,Positive
897,22,Female,Facebook,70,55,1,14,6,10,33,Positive
898,35,,Whatsapp,110,85,3,50,25,25,68,Positive
899,28,,Telegram,60,30,2,18,8,18,18,Negative
900,27,,Snapchat,120,113,4,40,18,22,128,Positive
901,25,Female,Instagram,120,80,5,50,20,25,92,Positive
902,30,Male,Twitter,90,75,4,30,20,22,138,Negative
903,22,Male,Facebook,60,50,2,20,10,15,108,Positive
904,28,Female,Instagram,,223,8,110,40,,71,Negative
905,33,Male,LinkedIn,45,20,1,,5,12,19,Positive
906,21,,Instagram,150,107,5,65,25,30,222,Positive
907,27,Female,Twitter,85,57,3,40,18,20,139,Negative
908,24,Female,Facebook,110,25,6,35,,25,74,Negative
909,29,Female,LinkedIn,55,20,2,15,5,10,147,Positive
910,31,Male,Instagram,170,157,7,90,35,40,203,Positive
911,23,,Twitter,75,25,4,45,,25,31,Negative
912,26,Female,Facebook,95,30,3,30,14,18,179,Negative
913,,Male,LinkedIn,65,25,1,14,6,15,62,Positive
914,22,Female,Instagram,180,87,8,100,38,,212,Positive
915,28,Male,Twitter,100,70,6,,30,29,53,Negative
916,21,Female,Facebook,40,0,1,,4,12,46,Positive
917,35,Female,Instagram,125,0,5,65,22,28,114,Negative
918,27,Male,Twitter,,0,3,40,16,24,217,Negative
919,23,Male,LinkedIn,50,15,1,12,6,12,136,Positive
920,32,Female,Instagram,140,84,6,75,28,30,72,Positive
921,26,Male,Facebook,75,35,2,30,14,20,15,Negative
922,24,,Twitter,105,93,,35,20,23,144,Negative
923,29,Male,,60,119,2,17,8,15,101,Positive
924,33,Female,Instagram,190,84,8,105,36,50,229,Positive
925,22,Female,Twitter,70,64,3,25,16,15,18,Negative
926,31,Male,Facebook,80,31,2,20,10,20,155,Positive
927,27,Male,LinkedIn,55,40,1,12,5,11,195,Negative
928,25,Female,Instagram,160,88,6,85,26,30,176,Positive
929,30,Male,Twitter,90,33,4,43,19,24,235,Negative
930,26,Female,Facebook,45,15,1,,,12,70,Negative
931,34,Female,LinkedIn,65,32,2,17,5,14,100,Positive
932,28,Male,Instagram,145,44,7,80,30,35,53,Positive
933,23,Male,Twitter,70,157,3,30,14,18,94,Positive
934,21,Female,Instagram,130,110,6,95,22,28,55,Negative
935,29,Male,Facebook,65,50,2,27,11,22,234,Negative
936,24,Female,LinkedIn,55,39,1,11,,11,132,Positive
937,33,Female,Instagram,170,59,7,95,30,38,103,Positive
938,27,Male,Twitter,85,40,4,45,18,24,100,Negative
939,22,Female,Instagram,115,53,3,60,17,30,121,Positive
940,28,Female,Facebook,100,56,2,22,12,25,160,Negative
941,31,Male,LinkedIn,45,15,1,9,4,10,84,Negative
942,25,Female,Instagram,150,100,6,,26,30,158,Positive
943,,Male,Twitter,95,60,4,50,22,22,240,Negative
944,23,Female,Facebook,105,102,2,25,12,18,142,Positive
945,35,Female,LinkedIn,60,57,1,15,7,14,78,Positive
946,30,Male,Instagram,175,110,7,100,33,38,218,Positive
947,21,Female,Twitter,90,70,3,37,14,,143,Negative
948,26,Female,Facebook,75,55,2,30,12,18,98,Negative
949,32,Male,Instagram,130,78,5,80,28,31,67,Positive
950,,Female,LinkedIn,55,40,,12,6,10,65,Positive
951,27,Male,Instagram,,196,6,,30,28,171,Positive
952,24,Female,Twitter,75,0,3,33,18,19,85,Negative
953,,Male,Facebook,85,40,2,27,,20,189,Positive
954,33,Female,Instagram,145,5,4,65,23,35,244,Negative
955,31,Male,LinkedIn,60,25,1,15,7,17,192,Negative
956,22,Female,Whatsapp,70,50,2,42,10,21,135,Negative
957,25,Male,Telegram,90,65,3,22,,22,74,Positive
958,29,Female,Snapchat,50,40,2,18,7,18,193,Negative
959,28,Female,Twitter,95,33,4,48,,25,115,Positive
960,27,Male,Facebook,60,30,1,12,5,15,129,Positive
961,30,Female,Instagram,175,7,6,72,30,33,237,Positive
962,23,Male,Whatsapp,70,35,3,22,10,18,196,Negative
963,34,Male,Telegram,80,60,2,21,,20,79,Positive
964,26,,Snapchat,120,112,4,55,18,,216,Negative
965,25,Male,Twitter,90,45,6,42,14,26,157,Negative
966,29,Female,Facebook,60,50,1,,4,12,98,Positive
967,28,Male,Instagram,165,84,5,78,23,35,155,Positive
968,31,Female,Whatsapp,65,50,2,27,10,20,34,Positive
969,27,Male,Telegram,105,10,3,48,20,28,80,Negative
970,22,Female,Snapchat,75,40,2,21,8,20,40,Negative
971,,Female,Instagram,140,54,4,65,22,30,165,Positive
972,35,Male,Twitter,70,50,1,13,,10,174,Positive
973,21,Male,Facebook,55,74,3,17,,12,63,Positive
974,29,Female,Whatsapp,90,86,2,24,,22,137,Negative
975,25,Male,Telegram,80,80,4,30,13,25,136,Positive
976,28,Female,Snapchat,115,48,3,38,,27,47,Negative
977,32,Female,Instagram,,120,6,75,25,38,182,Positive
978,,Male,Twitter,75,55,2,23,,18,92,Negative
979,33,Male,Facebook,65,35,1,13,7,14,51,Negative
980,27,Female,Whatsapp,90,67,4,37,18,20,144,Positive
981,31,,Telegram,50,20,2,20,10,12,51,Negative
982,24,Female,Snapchat,85,70,3,33,20,18,245,Positive
983,34,Female,Instagram,120,102,5,60,25,25,102,Negative
984,22,Male,Twitter,70,66,1,22,7,,86,Positive
985,,,Facebook,75,106,2,20,8,20,190,Positive
986,28,Female,,100,60,4,,14,26,227,Negative
987,31,Male,Telegram,85,76,3,45,20,28,112,Negative
988,21,,Snapchat,60,0,1,18,7,12,170,Positive
989,25,,Instagram,170,29,6,83,30,33,97,Positive
990,30,Male,,70,55,2,30,12,20,150,Negative
991,27,Male,Facebook,50,40,1,10,4,10,244,Positive
992,32,Female,Whatsapp,105,50,4,55,25,25,148,Negative
993,24,,Telegram,75,64,3,,16,22,34,Positive
994,29,Female,Snapchat,95,75,2,23,10,28,153,Negative
995,,Male,Instagram,150,85,5,70,25,30,71,Negative
996,33,Female,Twitter,85,23,4,35,18,18,218,Positive
997,22,Female,Facebook,70,35,1,14,6,10,96,Positive
998,35,Male,Whatsapp,110,110,3,50,25,25,79,Positive
999,28,Male,Telegram,60,33,2,,8,18,228,Negative
1000,27,Female,Snapchat,120,103,4,,18,22,126,Positive

